nama pengguna,produk,review,rating,waktu transaksi
rickaimelda,FortKlass Kaos FORTKLASS Regular Fit Kaos Sablon 24S 30S Kaos Pria Lengan Pendek Atasan Tshirt Distro,,4,2024-08-11 17:48
rickaimelda,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,4,2024-08-11 17:48
rickaimelda,Fortklass Outerwear Unisex Zipper Polos Pria Premium Jaket Pria Jumper Hoodie,,4,2024-08-11 17:48
widhiaputriayuanjanic,FortKlass Kemeja Rayon Polos Pria Lengan Pendek Hem Pria Kemeja pantai santai Earth Tone Distro,,5,2024-08-11 17:46
georgeutama,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 17:45
shahby,FortKlass Kaos Polos Oversize Fit T-Shirt Pria Cowo Cowok Premium Katun Combed 24S Best Seller,,4,2024-08-11 17:44
a*****1,FortKlass Kaos Polos Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex Tshirt,,5,2024-08-11 17:44
nurfitriyanatj,FortKlass Kaos Polos Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex Tshirt Oblong Polos Hitam Putih Distro Premium Murah Grosir,,5,2024-08-11 17:41
amazewon,FortKlass Kaos THREECOLOR Pria Katun Combed Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 17:41
amazewon,FortKlass Kaos Oversize 24S RANTAI T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 17:41
amazewon,FortKlass Kaos LINE Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 17:41
destraliatrikurniasari,FortKlass Kaos Oversize SPORTY 89 T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 17:40
indraboimz,FortKlass kenny kemeja polos pria lengan pandek slim fit cowok  formal slimfit cowok cowo Kemeja Tangan Pendek Formal Kantor Kerja Hem Pria Trendy Terlaris COD Free Ongkir Kamaja Polos Interview,"Desain:lumayan bagus
Warna:navy
Bahan:lembut

Lumayan dengan harga segitu, Terima kasih..",5,2024-08-11 17:40
b*****9,FortKlass Kaos Oversize 24S RANTAI T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 17:38
massaprell,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 17:36
rukmanaheru94,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,"Ukuran Pas di badan, bahannya juga bagus. Terimakasih....",5,2024-08-11 17:36
aurellia.2802,FortKlass Kaos Oversize Life Work Pitbul Frenchie French Buldog T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 17:35
9wtddzrc7o,FortKlass dony kemeja polos pria lengan pandek slim fit cowok  formal slimfit cowok cowo Kemeja Tangan Pendek Formal Kantor Kerja Hem Pria Trendy Terlaris COD Free Ongkir Kamaja Polos Interview,,5,2024-08-11 17:33
